"Data (mm-dd)","Distrito","Óbitos"
"Fev-03","Beja","5"
"Fev-04","Beja","12"
"Fev-05","Beja","9"
"Fev-06","Beja","6"
"Fev-07","Beja","4"
"Fev-08","Beja","3"
"Fev-09","Beja","6"
"Fev-10","Beja","7"
"Fev-11","Beja","5"
"Fev-12","Beja","14"
"Fev-13","Beja","4"
"Fev-14","Beja","6"
"Fev-15","Beja","12"
"Fev-16","Beja","3"
"Fev-17","Beja","10"
"Fev-18","Beja","5"
"Fev-19","Beja","11"
"Fev-20","Beja","7"
"Fev-21","Beja","9"
"Fev-22","Beja","8"
"Fev-23","Beja","7"
"Fev-24","Beja","8"
"Fev-25","Beja","8"
"Fev-26","Beja","4"
"Fev-27","Beja","9"
"Fev-28","Beja","7"
"Fev-29","Beja","5"
"Mar-01","Beja","12"
"Mar-02","Beja","10"
"Mar-03","Beja","2"
"Mar-04","Beja","2"
"Mar-05","Beja","6"
"Mar-06","Beja","6"
"Mar-07","Beja","7"
"Mar-08","Beja","7"
"Mar-09","Beja","3"
"Mar-10","Beja","2"
"Mar-11","Beja","7"
"Mar-12","Beja","8"
"Mar-13","Beja","4"
"Mar-14","Beja","10"
"Mar-15","Beja","4"
"Mar-16","Beja","3"
"Mar-17","Beja","11"
"Mar-18","Beja","4"
"Mar-19","Beja","10"
"Mar-20","Beja","13"
"Mar-21","Beja","9"
"Mar-22","Beja","8"
"Mar-23","Beja","7"
"Mar-24","Beja","8"
"Mar-25","Beja","5"
"Mar-26","Beja","6"
"Mar-27","Beja","6"
"Mar-28","Beja","2"
"Mar-29","Beja","9"
"Mar-30","Beja","6"
"Mar-31","Beja","9"
"Abr-01","Beja","10"
"Abr-02","Beja","5"
"Abr-03","Beja","4"
"Abr-04","Beja","13"
"Abr-05","Beja","3"
"Abr-06","Beja","5"
"Abr-07","Beja","7"
"Abr-08","Beja","11"
"Abr-09","Beja","13"
"Abr-10","Beja","8"
"Abr-11","Beja","7"
"Abr-12","Beja","12"
"Abr-13","Beja","5"
"Abr-14","Beja","4"
"Abr-15","Beja","10"
"Abr-16","Beja","4"
"Abr-17","Beja","5"
"Abr-18","Beja","5"
"Abr-19","Beja","8"
"Abr-20","Beja","8"
"Abr-21","Beja","8"
"Abr-22","Beja","10"
"Abr-23","Beja","6"
"Abr-24","Beja","8"
"Abr-25","Beja","6"
"Abr-26","Beja","5"
"Abr-27","Beja","9"
"Abr-28","Beja","5"
"Abr-29","Beja","5"
"Abr-30","Beja","5"
"Mai-01","Beja","11"
"Mai-02","Beja","6"
"Mai-03","Beja","5"
"Mai-04","Beja","2"
"Mai-05","Beja","9"
"Mai-06","Beja","4"
"Mai-07","Beja","8"
"Mai-08","Beja","8"
"Mai-09","Beja","10"
"Mai-10","Beja","5"
"Mai-11","Beja","5"
"Mai-12","Beja","7"
"Mai-13","Beja","6"
"Mai-14","Beja","4"
"Mai-15","Beja","8"
"Mai-16","Beja","7"
"Mai-17","Beja","5"
"Mai-18","Beja","4"
"Mai-19","Beja","7"
"Mai-20","Beja","6"
"Mai-21","Beja","5"
"Mai-22","Beja","6"
"Mai-23","Beja","4"
"Jan-01","Braga","30"
"Jan-02","Braga","28"
"Jan-03","Braga","23"
"Jan-04","Braga","31"
"Jan-05","Braga","22"
"Jan-06","Braga","25"
"Jan-07","Braga","17"
"Jan-08","Braga","27"
"Jan-09","Braga","26"
"Jan-10","Braga","25"
"Jan-11","Braga","24"
"Jan-12","Braga","28"
"Jan-13","Braga","23"
"Jan-14","Braga","23"
"Jan-15","Braga","27"
"Jan-16","Braga","13"
"Jan-17","Braga","22"
"Jan-18","Braga","20"
"Jan-19","Braga","31"
"Jan-20","Braga","23"
"Jan-21","Braga","21"
"Jan-22","Braga","20"
"Jan-23","Braga","18"
"Jan-24","Braga","24"
"Jan-25","Braga","23"
"Jan-26","Braga","27"
"Jan-27","Braga","36"
"Jan-28","Braga","26"
"Jan-29","Braga","18"
"Jan-30","Braga","29"
"Jan-31","Braga","24"
"Fev-01","Braga","19"
"Fev-02","Braga","20"
"Fev-03","Braga","28"
"Fev-04","Braga","22"
"Fev-05","Braga","18"
"Fev-06","Braga","12"
"Fev-07","Braga","22"
"Fev-08","Braga","21"
"Fev-09","Braga","23"
"Fev-10","Braga","20"
"Fev-11","Braga","21"
"Fev-12","Braga","19"
"Fev-13","Braga","19"
"Fev-14","Braga","30"
"Fev-15","Braga","20"
"Fev-16","Braga","17"
"Fev-17","Braga","23"
"Fev-18","Braga","26"
"Fev-19","Braga","21"
"Fev-20","Braga","23"
"Fev-21","Braga","23"
"Fev-22","Braga","19"
"Fev-23","Braga","25"
"Fev-24","Braga","16"
"Fev-25","Braga","17"
"Fev-26","Braga","23"
"Fev-27","Braga","31"
"Fev-28","Braga","19"
"Fev-29","Braga","19"
"Mar-01","Braga","21"
"Mar-02","Braga","10"
"Mar-03","Braga","24"
"Mar-04","Braga","20"
"Mar-05","Braga","16"
"Mar-06","Braga","12"
"Mar-07","Braga","23"
"Mar-08","Braga","19"
"Mar-09","Braga","21"
"Mar-10","Braga","19"
"Mar-11","Braga","28"
"Mar-12","Braga","22"
"Mar-13","Braga","26"
"Mar-14","Braga","29"
"Mar-15","Braga","19"
"Mar-16","Braga","31"
"Mar-17","Braga","16"
"Mar-18","Braga","20"
"Mar-19","Braga","15"
"Mar-20","Braga","24"
"Mar-21","Braga","25"
"Mar-22","Braga","23"
"Mar-23","Braga","12"
"Mar-24","Braga","22"
"Mar-25","Braga","27"
"Mar-26","Braga","23"
"Mar-27","Braga","22"
"Mar-28","Braga","24"
"Mar-29","Braga","26"
"Mar-30","Braga","21"
"Mar-31","Braga","33"
"Abr-01","Braga","17"
"Abr-02","Braga","22"
"Abr-03","Braga","16"
"Abr-04","Braga","29"
"Abr-05","Braga","25"
"Abr-06","Braga","30"
"Abr-07","Braga","20"
"Abr-08","Braga","20"
"Abr-09","Braga","24"
"Abr-10","Braga","28"
"Abr-11","Braga","18"
"Abr-12","Braga","20"
"Abr-13","Braga","30"
"Abr-14","Braga","19"
"Abr-15","Braga","27"
"Abr-16","Braga","24"
"Abr-17","Braga","19"
"Abr-18","Braga","22"
"Abr-19","Braga","25"
"Abr-20","Braga","21"
"Abr-21","Braga","23"
"Abr-22","Braga","20"
"Abr-23","Braga","27"
"Abr-24","Braga","19"
"Abr-25","Braga","23"
"Abr-26","Braga","26"
"Abr-27","Braga","21"
"Abr-28","Braga","23"
"Abr-29","Braga","16"
"Abr-30","Braga","24"
"Mai-01","Braga","25"
"Mai-02","Braga","20"
"Mai-03","Braga","13"
"Mai-04","Braga","16"
"Mai-05","Braga","22"
"Mai-06","Braga","22"
"Mai-07","Braga","20"
"Mai-08","Braga","23"
"Mai-09","Braga","21"
"Mai-10","Braga","16"
"Mai-11","Braga","21"
"Mai-12","Braga","17"
"Mai-13","Braga","24"
"Mai-14","Braga","21"
"Mai-15","Braga","16"
"Mai-16","Braga","19"
"Mai-17","Braga","13"
"Mai-18","Braga","15"
"Mai-19","Braga","27"
"Mai-20","Braga","17"
"Mai-21","Braga","15"
"Mai-22","Braga","14"
"Mai-23","Braga","12"
"Jan-01","Bragança","1"
"Jan-02","Bragança","9"
"Jan-03","Bragança","3"
"Jan-04","Bragança","8"
"Jan-05","Bragança","9"
"Jan-06","Bragança","5"
"Jan-07","Bragança","6"
"Jan-08","Bragança","7"
"Jan-09","Bragança","5"
"Jan-10","Bragança","10"
"Jan-11","Bragança","4"
"Jan-12","Bragança","10"
"Jan-13","Bragança","4"
"Jan-14","Bragança","3"
"Jan-15","Bragança","11"
"Jan-16","Bragança","6"
"Jan-17","Bragança","6"
"Jan-18","Bragança","13"
"Jan-19","Bragança","6"
"Jan-20","Bragança","6"
"Jan-21","Bragança","6"
"Jan-22","Bragança","7"
"Jan-23","Bragança","3"
"Jan-24","Bragança","4"
"Jan-25","Bragança","4"
"Jan-26","Bragança","13"
"Jan-27","Bragança","2"
"Jan-28","Bragança","4"
"Jan-29","Bragança","7"
"Jan-30","Bragança","5"
"Jan-31","Bragança","4"
"Fev-01","Bragança","0"
"Fev-02","Bragança","6"
"Fev-03","Bragança","6"
"Fev-04","Bragança","3"
"Fev-05","Bragança","7"
"Fev-06","Bragança","10"
"Fev-07","Bragança","4"
"Fev-08","Bragança","7"
"Fev-09","Bragança","9"
"Fev-10","Bragança","4"
"Fev-11","Bragança","5"
"Fev-12","Bragança","9"
"Fev-13","Bragança","4"
"Fev-14","Bragança","7"
"Fev-15","Bragança","3"
"Fev-16","Bragança","4"
"Fev-17","Bragança","8"
"Fev-18","Bragança","8"
"Fev-19","Bragança","7"
"Fev-20","Bragança","2"
"Fev-21","Bragança","3"
"Fev-22","Bragança","5"
"Fev-23","Bragança","9"
"Fev-24","Bragança","4"
"Fev-25","Bragança","8"
"Fev-26","Bragança","8"
"Fev-27","Bragança","5"
"Fev-28","Bragança","9"
"Fev-29","Bragança","8"
"Mar-01","Bragança","11"
"Mar-02","Bragança","6"
"Mar-03","Bragança","3"
"Mar-04","Bragança","6"
"Mar-05","Bragança","7"
"Mar-06","Bragança","10"
"Mar-07","Bragança","7"
"Mar-08","Bragança","2"
"Mar-09","Bragança","7"
"Mar-10","Bragança","7"
"Mar-11","Bragança","8"
"Mar-12","Bragança","8"
"Mar-13","Bragança","7"
"Mar-14","Bragança","3"
"Mar-15","Bragança","5"
"Mar-16","Bragança","3"
"Mar-17","Bragança","3"
"Mar-18","Bragança","5"
"Mar-19","Bragança","5"
"Mar-20","Bragança","8"
"Mar-21","Bragança","8"
"Mar-22","Bragança","6"
"Mar-23","Bragança","5"
"Mar-24","Bragança","8"
"Mar-25","Bragança","9"
"Mar-26","Bragança","8"
"Mar-27","Bragança","3"
"Mar-28","Bragança","4"
"Mar-29","Bragança","5"
"Mar-30","Bragança","5"
"Mar-31","Bragança","6"
"Abr-01","Bragança","6"
"Abr-02","Bragança","10"
"Abr-03","Bragança","4"
"Abr-04","Bragança","7"
"Abr-05","Bragança","8"
"Abr-06","Bragança","9"
"Abr-07","Bragança","10"
"Abr-08","Bragança","4"
"Abr-09","Bragança","8"
"Abr-10","Bragança","4"
"Abr-11","Bragança","6"
"Abr-12","Bragança","5"
"Abr-13","Bragança","4"
"Abr-14","Bragança","6"
"Abr-15","Bragança","11"
"Abr-16","Bragança","7"
"Abr-17","Bragança","5"
"Abr-18","Bragança","6"
"Abr-19","Bragança","2"
"Abr-20","Bragança","10"
"Abr-21","Bragança","3"
"Abr-22","Bragança","14"
"Abr-23","Bragança","6"
"Abr-24","Bragança","12"
"Abr-25","Bragança","9"
"Abr-26","Bragança","1"
"Abr-27","Bragança","4"
"Abr-28","Bragança","5"
"Abr-29","Bragança","4"
"Abr-30","Bragança","5"
"Mai-01","Bragança","5"
"Mai-02","Bragança","11"
"Mai-03","Bragança","6"
"Mai-04","Bragança","7"
"Mai-05","Bragança","6"
"Mai-06","Bragança","3"
"Mai-07","Bragança","7"
"Mai-08","Bragança","10"
"Mai-09","Bragança","3"
"Mai-10","Bragança","8"
"Mai-11","Bragança","7"
"Mai-12","Bragança","10"
"Mai-13","Bragança","7"
"Mai-14","Bragança","5"
"Mai-15","Bragança","5"
"Mai-16","Bragança","6"
"Mai-17","Bragança","3"
"Mai-18","Bragança","4"
"Mai-19","Bragança","1"
"Mai-20","Bragança","6"
"Mai-21","Bragança","4"
"Mai-22","Bragança","5"
"Mai-23","Bragança","8"
"Jan-01","Castelo Branco","10"
"Jan-02","Castelo Branco","10"
"Jan-03","Castelo Branco","9"
"Jan-04","Castelo Branco","5"
"Jan-05","Castelo Branco","7"
"Jan-06","Castelo Branco","6"
"Jan-07","Castelo Branco","10"
"Jan-08","Castelo Branco","10"
"Jan-09","Castelo Branco","7"
"Jan-10","Castelo Branco","10"
"Jan-11","Castelo Branco","6"
"Jan-12","Castelo Branco","10"
"Jan-13","Castelo Branco","7"
"Jan-14","Castelo Branco","12"
"Jan-15","Castelo Branco","5"
"Jan-16","Castelo Branco","14"
"Jan-17","Castelo Branco","12"
"Jan-18","Castelo Branco","7"
"Jan-19","Castelo Branco","17"
"Jan-20","Castelo Branco","10"
"Jan-21","Castelo Branco","9"
"Jan-22","Castelo Branco","12"
"Jan-23","Castelo Branco","13"
"Jan-24","Castelo Branco","9"
"Jan-25","Castelo Branco","12"
"Jan-26","Castelo Branco","7"
"Jan-27","Castelo Branco","9"
"Jan-28","Castelo Branco","6"
"Jan-29","Castelo Branco","8"
"Jan-30","Castelo Branco","10"
"Jan-31","Castelo Branco","12"
"Fev-01","Castelo Branco","17"
"Fev-02","Castelo Branco","10"
"Fev-03","Castelo Branco","8"
"Fev-04","Castelo Branco","9"
"Fev-05","Castelo Branco","7"
"Fev-06","Castelo Branco","5"
"Fev-07","Castelo Branco","7"
"Fev-08","Castelo Branco","9"
"Fev-09","Castelo Branco","14"
"Fev-10","Castelo Branco","12"
"Fev-11","Castelo Branco","9"
"Fev-12","Castelo Branco","6"
"Fev-13","Castelo Branco","10"
"Fev-14","Castelo Branco","12"
"Fev-15","Castelo Branco","7"
"Fev-16","Castelo Branco","7"
"Fev-17","Castelo Branco","10"
"Fev-18","Castelo Branco","5"
"Fev-19","Castelo Branco","4"
"Fev-20","Castelo Branco","10"
"Fev-21","Castelo Branco","8"
"Fev-22","Castelo Branco","8"
"Fev-23","Castelo Branco","9"
"Fev-24","Castelo Branco","8"
"Fev-25","Castelo Branco","11"
"Fev-26","Castelo Branco","7"
"Fev-27","Castelo Branco","13"
"Fev-28","Castelo Branco","5"
"Fev-29","Castelo Branco","6"
"Mar-01","Castelo Branco","7"
"Mar-02","Castelo Branco","3"
"Mar-03","Castelo Branco","10"
"Mar-04","Castelo Branco","9"
"Mar-05","Castelo Branco","11"
"Mar-06","Castelo Branco","9"
"Mar-07","Castelo Branco","11"
"Mar-08","Castelo Branco","7"
"Mar-09","Castelo Branco","8"
"Mar-10","Castelo Branco","11"
"Mar-11","Castelo Branco","7"
"Mar-12","Castelo Branco","6"
"Mar-13","Castelo Branco","9"
"Mar-14","Castelo Branco","10"
"Mar-15","Castelo Branco","8"
"Mar-16","Castelo Branco","4"
"Mar-17","Castelo Branco","12"
"Mar-18","Castelo Branco","7"
"Mar-19","Castelo Branco","12"
"Mar-20","Castelo Branco","16"
"Mar-21","Castelo Branco","7"
"Mar-22","Castelo Branco","4"
"Mar-23","Castelo Branco","4"
"Mar-24","Castelo Branco","8"
"Mar-25","Castelo Branco","9"
"Mar-26","Castelo Branco","10"
"Mar-27","Castelo Branco","13"
"Mar-28","Castelo Branco","10"
"Mar-29","Castelo Branco","16"
"Mar-30","Castelo Branco","5"
"Mar-31","Castelo Branco","5"
"Abr-01","Castelo Branco","15"
"Abr-02","Castelo Branco","5"
"Abr-03","Castelo Branco","9"
"Abr-04","Castelo Branco","12"
"Abr-05","Castelo Branco","11"
"Abr-06","Castelo Branco","7"
"Abr-07","Castelo Branco","10"
"Abr-08","Castelo Branco","5"
"Abr-09","Castelo Branco","9"
"Abr-10","Castelo Branco","5"
"Abr-11","Castelo Branco","6"
"Abr-12","Castelo Branco","10"
"Abr-13","Castelo Branco","8"
"Abr-14","Castelo Branco","6"
"Abr-15","Castelo Branco","5"
"Abr-16","Castelo Branco","6"
"Abr-17","Castelo Branco","11"
"Abr-18","Castelo Branco","6"
"Abr-19","Castelo Branco","9"
"Abr-20","Castelo Branco","6"
"Abr-21","Castelo Branco","4"
"Abr-22","Castelo Branco","5"
"Abr-23","Castelo Branco","6"
"Abr-24","Castelo Branco","7"
"Abr-25","Castelo Branco","9"
"Abr-26","Castelo Branco","8"
"Abr-27","Castelo Branco","1"
"Abr-28","Castelo Branco","4"
"Abr-29","Castelo Branco","5"
"Abr-30","Castelo Branco","4"
"Mai-01","Castelo Branco","6"
"Mai-02","Castelo Branco","3"
"Mai-03","Castelo Branco","12"
"Mai-04","Castelo Branco","4"
"Mai-05","Castelo Branco","7"
"Mai-06","Castelo Branco","11"
"Mai-07","Castelo Branco","9"
"Mai-08","Castelo Branco","9"
"Mai-09","Castelo Branco","3"
"Mai-10","Castelo Branco","4"
"Mai-11","Castelo Branco","8"
"Mai-12","Castelo Branco","8"
"Mai-13","Castelo Branco","5"
"Mai-14","Castelo Branco","9"
"Mai-15","Castelo Branco","9"
"Mai-16","Castelo Branco","5"
"Mai-17","Castelo Branco","11"
"Mai-18","Castelo Branco","7"
"Mai-19","Castelo Branco","11"
"Mai-20","Castelo Branco","8"
"Mai-21","Castelo Branco","11"
"Mai-22","Castelo Branco","3"
"Mai-23","Castelo Branco","4"
"Jan-01","Coimbra","24"
"Jan-02","Coimbra","15"
"Jan-03","Coimbra","15"
"Jan-04","Coimbra","13"
"Jan-05","Coimbra","21"
"Jan-06","Coimbra","12"
"Jan-07","Coimbra","15"
"Jan-08","Coimbra","11"
"Jan-09","Coimbra","26"
"Jan-10","Coimbra","18"
"Jan-11","Coimbra","25"
"Jan-12","Coimbra","19"
"Jan-13","Coimbra","20"
"Jan-14","Coimbra","16"
"Jan-15","Coimbra","24"
"Jan-16","Coimbra","24"
"Jan-17","Coimbra","17"
"Jan-18","Coimbra","19"
"Jan-19","Coimbra","15"
"Jan-20","Coimbra","25"
"Jan-21","Coimbra","14"
"Jan-22","Coimbra","14"
"Jan-23","Coimbra","17"
"Jan-24","Coimbra","20"
"Jan-25","Coimbra","22"
"Jan-26","Coimbra","17"
"Jan-27","Coimbra","21"
"Jan-28","Coimbra","22"
"Jan-29","Coimbra","17"
"Jan-30","Coimbra","18"
"Jan-31","Coimbra","20"
"Fev-01","Coimbra","17"
"Fev-02","Coimbra","14"
"Fev-03","Coimbra","19"
"Fev-04","Coimbra","20"
"Fev-05","Coimbra","16"
"Fev-06","Coimbra","13"
"Fev-07","Coimbra","17"
"Fev-08","Coimbra","11"
"Fev-09","Coimbra","10"
"Fev-10","Coimbra","12"
"Fev-11","Coimbra","15"
"Fev-12","Coimbra","21"
"Fev-13","Coimbra","6"
"Fev-14","Coimbra","9"
"Fev-15","Coimbra","11"
"Fev-16","Coimbra","18"
"Fev-17","Coimbra","23"
"Fev-18","Coimbra","16"
"Fev-19","Coimbra","20"
"Fev-20","Coimbra","11"
"Fev-21","Coimbra","21"
"Fev-22","Coimbra","15"
"Fev-23","Coimbra","16"
"Fev-24","Coimbra","16"
"Fev-25","Coimbra","13"
"Fev-26","Coimbra","15"
"Fev-27","Coimbra","15"
"Fev-28","Coimbra","13"
"Fev-29","Coimbra","19"
"Mar-01","Coimbra","19"
"Mar-02","Coimbra","9"
"Mar-03","Coimbra","15"
"Mar-04","Coimbra","15"
"Mar-05","Coimbra","9"
"Mar-06","Coimbra","16"
"Mar-07","Coimbra","13"
"Mar-08","Coimbra","8"
"Mar-09","Coimbra","15"
"Mar-10","Coimbra","15"
"Mar-11","Coimbra","10"
"Mar-12","Coimbra","18"
"Mar-13","Coimbra","17"
"Mar-14","Coimbra","12"
"Mar-15","Coimbra","19"
"Mar-16","Coimbra","19"
"Mar-17","Coimbra","24"
"Mar-18","Coimbra","10"
"Mar-19","Coimbra","20"
"Mar-20","Coimbra","23"
"Mar-21","Coimbra","17"
"Mar-22","Coimbra","16"
"Mar-23","Coimbra","15"
"Mar-24","Coimbra","17"
"Mar-25","Coimbra","13"
"Mar-26","Coimbra","18"
"Mar-27","Coimbra","13"
"Mar-28","Coimbra","26"
"Mar-29","Coimbra","22"
"Mar-30","Coimbra","11"
"Mar-31","Coimbra","12"
"Abr-01","Coimbra","23"
"Abr-02","Coimbra","18"
"Abr-03","Coimbra","12"
"Abr-04","Coimbra","21"
"Abr-05","Coimbra","19"
"Abr-06","Coimbra","9"
"Abr-07","Coimbra","20"
"Abr-08","Coimbra","21"
"Abr-09","Coimbra","13"
"Abr-10","Coimbra","9"
"Abr-11","Coimbra","17"
"Abr-12","Coimbra","16"
"Abr-13","Coimbra","18"
"Abr-14","Coimbra","12"
"Abr-15","Coimbra","16"
"Abr-16","Coimbra","17"
"Abr-17","Coimbra","14"
"Abr-18","Coimbra","18"
"Abr-19","Coimbra","11"
"Abr-20","Coimbra","14"
"Abr-21","Coimbra","16"
"Abr-22","Coimbra","16"
"Abr-23","Coimbra","15"
"Abr-24","Coimbra","21"
"Abr-25","Coimbra","17"
"Abr-26","Coimbra","20"
"Abr-27","Coimbra","14"
"Abr-28","Coimbra","20"
"Abr-29","Coimbra","12"
"Abr-30","Coimbra","18"
"Mai-01","Coimbra","15"
"Mai-02","Coimbra","16"
"Mai-03","Coimbra","14"
"Mai-04","Coimbra","20"
"Mai-05","Coimbra","20"
"Mai-06","Coimbra","21"
"Mai-07","Coimbra","15"
"Mai-08","Coimbra","11"
"Mai-09","Coimbra","10"
"Mai-10","Coimbra","14"
"Mai-11","Coimbra","20"
"Mai-12","Coimbra","17"
"Mai-13","Coimbra","23"
"Mai-14","Coimbra","14"
"Mai-15","Coimbra","9"
"Mai-16","Coimbra","12"
"Mai-17","Coimbra","17"
"Mai-18","Coimbra","17"
"Mai-19","Coimbra","11"
"Mai-20","Coimbra","17"
"Mai-21","Coimbra","12"
"Mai-22","Coimbra","10"
"Mai-23","Coimbra","10"
"Jan-01","Desconhecido","3"
"Jan-02","Desconhecido","1"
"Jan-03","Desconhecido","0"
"Jan-04","Desconhecido","1"
"Jan-05","Desconhecido","0"
"Jan-06","Desconhecido","1"
"Jan-07","Desconhecido","0"
"Jan-08","Desconhecido","0"
"Jan-09","Desconhecido","0"
"Jan-10","Desconhecido","4"
"Jan-11","Desconhecido","0"
"Jan-12","Desconhecido","2"
"Jan-13","Desconhecido","0"
"Jan-14","Desconhecido","1"
"Jan-15","Desconhecido","1"
"Jan-16","Desconhecido","2"
"Jan-17","Desconhecido","2"
"Jan-18","Desconhecido","3"
"Jan-19","Desconhecido","0"
"Jan-20","Desconhecido","0"
"Jan-21","Desconhecido","0"
"Jan-22","Desconhecido","0"
"Jan-23","Desconhecido","0"
"Jan-24","Desconhecido","1"
"Jan-25","Desconhecido","0"
"Jan-26","Desconhecido","0"
"Jan-27","Desconhecido","0"
"Jan-28","Desconhecido","1"
"Jan-29","Desconhecido","0"
"Jan-30","Desconhecido","0"
"Jan-31","Desconhecido","0"
"Fev-01","Desconhecido","2"
"Fev-02","Desconhecido","0"
